단품코드,항만_재고,부평_재고,내부창고_합계
SPRPG37C5210110,10,6,16
SPRPG37C5259110,648,38,686
SPRPG37C54AA095,2,0,2
SPRPG37C5510090,136,2,138
SPRPG37C5510095,16,20,36
SPRPG37C5510100,8,14,22
SPRPG37C5510105,54,20,74
SPRPG37C5710090,12,0,12
SPRPG37C5751095,152,0,152
SPRPG37C5751100,174,0,174
SPRPG37C5751105,150,0,150
SPRPG37C5764090,36,0,36
SPRPG37C5764095,62,0,62
SPRPG37C5764100,120,0,120
SPRPG37C5764105,114,0,114
SPRPG37C6010100,10,0,10
SPRPG37C6210090,314,0,314
SPRPG37C6210100,526,110,636
SPRPG37C6229090,118,0,118
SPRPG37C6229095,134,0,134
SPRPG37C6229100,64,4,68
SPRPG37C6229105,96,0,96
SPRPG37C6259105,168,152,320
SPRPG37C6260090,46,48,94
SPRPG37C6260095,2,78,80
SPRPG37C6260105,2,90,92
SPRPG37C6339090,12,30,42
SPRPG37C6339100,10,0,10
SPRPG37C6350100,2,0,2
SPRPG37C6350105,2,2,4
SPRPG37C6359090,30,0,30
SPRPG37C6359095,52,0,52
SPRPG37C6359100,58,0,58
SPRPG37C6360095,46,0,46
SPRPG37C6360105,406,2,408
SPRPG37C6660100,4,0,4
SPRPG37C6675090,28,0,28
SPRPG37C6675095,34,0,34
SPRPG37C6675100,64,0,64
SPRPG37C6675105,54,0,54
SPRPG37C66BS090,36,0,36
SPRPG37C66BS095,36,0,36
SPRPG37C66BS100,62,0,62
SPRPG37C66BS105,46,0,46
SPRPG37C6710090,2,0,2
SPRPG37C6710100,10,0,10
SPRPG37C6710105,32,0,32
SPRPG37C6719105,2,0,2
SPRPG37C67AA100,4,0,4
SPRPG37C67AA105,2,0,2
SPRPG37C6810090,46,0,46
SPRPG37C6810095,124,0,124
SPRPG37C6810100,132,0,132
SPRPG37C6810105,58,0,58
SPRPG37C6860095,26,0,26
SPRPG37C6860100,110,0,110
SPRPG37C6860105,134,0,134
SPRPG37C6864090,22,0,22
SPRPG37C6864095,62,0,62
SPRPG37C6864100,176,0,176
SPRPG37C6864105,434,0,434
SPRPG37C6876090,132,0,132
SPRPG37C6876095,102,0,102
SPRPG37C6876100,108,0,108
SPRPG37C6876105,74,0,74
SPRPG37C6939090,14,0,14
SPRPG37G5185085,158,0,158
SPRPG37G5185090,94,0,94
SPRPG37G5185095,44,0,44
SPRPG37G5208090,48,0,48
SPRPG37G5233095,2,0,2
SPRPG37G5310085,2,0,2
SPRPG37G5315085,2,0,2
SPRPG37G5320095,2,0,2
SPRPG37G5359095,2,0,2
SPRPG37G5410070,2,20,22
SPRPG37G6020085,22,0,22
SPRPG37G6020090,22,0,22
SPRPG37G6020095,10,0,10
SPRPG37G6110095,2,0,2
SPRPG37G61AA085,1552,0,1552
SPRPG37G61AA090,1728,0,1728
SPRPG37G61AA095,1346,0,1346
SPRPG37G6210085,258,0,258
SPRPG37G6210090,162,0,162
SPRPG37G6210095,116,0,116
SPRPG37G6250085,158,0,158
SPRPG37G6250090,124,0,124
SPRPG37G6250095,112,0,112
SPRPG37G6310090,134,0,134
SPRPG37G6330085,96,0,96
SPRPG37G6330090,42,0,42
SPRPG37G6330095,16,2,18
