단품코드,단품명,정상가,매출랭킹,온라인랭킹,출고율,온라인비중,누판율,주판율,주간외형매출,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기
SPSMG37KU149160,"[키즈][COOL] 러닝 베어 상하세트, (49)Kha",36820,1483,1483,0.92,0.7,0.5,0.15,331380,6,41,39,3,0,32,0,0,0,0,0,0,0,0,9,0
SPSMG37KU152110,"[키즈][COOL] 러닝 베어 상하세, (52)Dark",36726,2426,2426,0.92,0.7,0.5,0.15,183630,21,15,19,6,0,44,0,0,0,0,1,1,0,0,3,0
SPSMG37KU152120,"[키즈][COOL] 러닝 베어 상하세, (52)Dark",36600,2120,2120,0.92,0.7,0.5,0.15,219600,54,25,21,4,0,51,0,0,0,0,0,1,0,0,5,0
SPSMG37KU152130,"[키즈][COOL] 러닝 베어 상하세, (52)Dark",36008,1351,1351,0.92,0.7,0.5,0.15,360080,28,21,16,2,0,21,0,0,0,0,2,1,1,0,6,0
SPSMG37KU152140,"[키즈][COOL] 러닝 베어 상하세, (52)Dark",34526,1426,1426,0.92,0.7,0.5,0.15,345260,20,29,29,5,0,31,0,0,0,0,5,0,1,0,4,0
SPSMG37KU152150,"[키즈][COOL] 러닝 베어 상하세, (52)Dark",35279,1260,1260,0.92,0.7,0.5,0.15,388070,30,36,30,4,0,50,0,0,0,0,3,0,0,0,8,0
SPSMG37KU152160,"[키즈][COOL] 러닝 베어 상하세, (52)Dark",36504,686,686,0.92,0.7,0.5,0.15,693590,21,38,25,5,0,34,0,0,0,0,3,1,3,0,12,0
SPSMG37KU232110,,35940,2878,2878,0.92,0.7,0.5,0.15,143760,0,21,38,0,0,28,6,0,0,0,0,0,0,0,4,0
SPSMG37KU232120,,36505,970,970,0.92,0.7,0.5,0.15,511080,0,31,58,0,0,47,6,0,0,0,0,2,0,0,12,0
SPSMG37KU232130,,35940,482,482,0.92,0.7,0.5,0.15,934440,0,39,98,0,0,30,6,0,0,0,0,0,0,0,26,0
SPSMG37KU232140,,35626,601,601,0.92,0.7,0.5,0.15,783780,0,11,87,0,0,3,5,0,0,0,3,1,0,0,18,0
SPSMG37KU232150,,36130,620,620,0.92,0.7,0.5,0.15,758750,0,34,92,0,0,4,7,0,0,0,1,2,0,0,18,0
SPSMG37KU232160,,36192,771,771,0.92,0.7,0.5,0.15,615280,0,35,71,0,0,2,7,0,0,0,1,1,0,0,15,0
SPSMG37KU250110,,34130,4776,4776,0.92,0.7,0.5,0.15,68260,0,21,37,0,0,42,7,0,0,0,1,0,0,0,1,0
SPSMG37KU250120,,35940,3536,3536,0.92,0.7,0.5,0.15,107820,0,31,48,0,0,58,7,0,0,0,0,0,0,0,3,0
SPSMG37KU250130,,35940,2879,2879,0.92,0.7,0.5,0.15,143760,0,46,67,1,0,78,7,0,0,0,0,0,0,0,4,0
