매출랭킹,온라인랭킹,단품코드,단품명,정상가,출고율,누판율,주판율,온라인비중,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버
7824,7824,SPPPG25U2050105,[트릭컬 리바이브] 볼따구 반팔 파자,39900,0.7357,0.666,0.0,0.3,0,33,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2050110,[트릭컬 리바이브] 볼따구 반팔 파자,39900,0.6377,0.5269,0.0,0.3,0,36,0,1,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2050115,[트릭컬 리바이브] 볼따구 반팔 파자,39900,0.379,0.3226,0.0,0.3,0,4,0,1,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2085095,[트릭컬 리바이브] 볼따구 반팔 파자,39900,0.7305,0.6234,0.0,0.3,0,29,0,2,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2085100,[트릭컬 리바이브] 볼따구 반팔 파자,39900,0.7015,0.6502,0.0,0.3,0,24,0,4,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2085105,[트릭컬 리바이브] 볼따구 반팔 파자,39900,0.7592,0.6648,0.0,0.3,0,57,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2085110,[트릭컬 리바이브] 볼따구 반팔 파자,39900,0.7034,0.6,0.0,0.3,0,49,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2085115,[트릭컬 리바이브] 볼따구 반팔 파자,39900,0.344,0.3073,0.0,0.3,0,3,0,3,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2119085,[SPAO X Miseki SEOUL,39900,0.9917,0.9917,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2119090,[SPAO X Miseki SEOUL,39900,0.989,0.9835,0.0,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2219999,[SPAO X Miseki SEOUL,69900,0.99,0.9833,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2399090,(QR) [망그러진곰] 망고미랑 생일,49900,0.9811,0.9811,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
7824,7824,SPPPG25U2399095,(QR) [망그러진곰] 망고미랑 생일,49900,1.0,0.9863,0.0,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,,,
7824,7824,SPPPG25U2399100,(QR) [망그러진곰] 망고미랑 생일,49900,0.9737,0.9605,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG25U2399105,(QR) [망그러진곰] 망고미랑 생일,49900,0.9855,0.9855,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
