매출랭킹,온라인랭킹,단품코드,단품명,정상가,출고율,누판율,주판율,온라인비중,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버
1,1,SPJJG25G0110090,[UV차단] 라이트 후드 윈드브레이커,39900,0.9987,0.7905,0.0793,0.3,0,234,1,203,366,334,0,14,1,0,115,68,0,,,
2,2,SPJJG37G0210090,[ACTIVE] 라이트 시어 후드 크,39900,0.9851,0.5326,0.12,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3,3,SPCKG37G01AC090,"[COOL] 썸머 카디건 (SPCK,",29900,0.6694,0.5227,0.152,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,4,SPJJG37G0215090,[ACTIVE] 라이트 시어 후드 크,39900,0.9877,0.9276,0.1156,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5,5,SPJJG37G0210085,[ACTIVE] 라이트 시어 후드 크,39900,0.9972,0.7734,0.1153,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,6,SPJJG37G0215095,[ACTIVE] 라이트 시어 후드 크,39900,0.9994,0.8482,0.1287,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,7,SPJJG25G0110085,[UV차단] 라이트 후드 윈드브레이커,39900,0.9984,0.7799,0.0612,0.3,0,304,0,252,590,352,0,17,2,0,83,48,0,,,
8,8,SPCKG37G01AC095,"[COOL] 썸머 카디건 (SPCK,",29900,0.7082,0.5522,0.141,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9,9,SPAKG37U0450999,"[호빵맨] 도시락 가방, (50)Bl",29900,0.8975,0.8075,0.6438,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
10,10,SPTCG25G1110070,"와이드 카고 팬츠 (나일론), (10",39900,1.0051,0.8178,0.1377,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
11,11,SPJJG25G0110095,[UV차단] 라이트 후드 윈드브레이커,39900,0.9473,0.5984,0.0591,0.3,0,213,0,172,540,377,0,14,0,0,77,60,0,,,
12,12,SPPPG37U2585080,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.8748,0.3674,0.1177,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
13,13,SPRPG38KU910160,[키즈] CONANICUT 루즈핏 반,19900,1.0,0.9917,0.9917,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
14,14,SPCKG37G0119095,[COOL] 썸머 카디건 (SPCKG,29900,0.8128,0.6631,0.1306,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
15,15,SPPPG37U2585075,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.634,0.2832,0.0912,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16,16,SPAKG37U0785999,[마이페이브아카이브] 레오파드 꼬임,39900,0.748,0.326,0.326,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
17,17,SPJJG37G0230090,[ACTIVE] 라이트 시어 후드 크,39900,0.9947,0.6198,0.1171,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
18,18,SPTCG25G1119070,"와이드 카고 팬츠 (나일론), (19",39900,0.806,0.5583,0.1016,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
19,19,SPPPG37U2526075,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.7871,0.2731,0.0923,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20,20,SPJJG37G0225090,[ACTIVE] 라이트 시어 후드 크,39900,0.9949,0.9239,0.1016,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
21,21,SPCKG37G0119090,[COOL] 썸머 카디건 (SPCKG,29900,0.6633,0.445,0.1086,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
22,22,SPJJG37G0210095,[ACTIVE] 라이트 시어 후드 크,39900,0.819,0.2878,0.0582,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
23,23,SPPPG37U2585070,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.8558,0.4357,0.1404,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
24,24,SPJJG25G0151090,[UV차단] 라이트 후드 윈드브레이커,39900,0.9957,0.8641,0.0459,0.3,0,139,0,67,241,91,0,7,0,0,31,34,0,,,
25,25,SPTCG25G1160070,"와이드 카고 팬츠 (나일론), (60",39900,0.9962,0.8485,0.0981,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26,26,SPYWG37W0110095,"시스루 셔츠, (10)White, L",39900,1.1422,0.9363,0.1631,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
27,27,SPPPG37U0750100,"[호빵맨] 반팔 파자마, L, (50",39900,1.0,0.8808,0.4182,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
28,28,SPCKG37G0119085,[COOL] 썸머 카디건 (SPCKG,29900,0.8095,0.656,0.2857,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29,29,SPTCG25G1119075,"와이드 카고 팬츠 (나일론), (19",39900,0.9956,0.7477,0.117,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
30,30,SPJJG37U0349095,[마이페이브아카이브] 라이트 패커블,59900,0.6129,0.2355,0.2355,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
31,31,SPCKG24G0139085,"[COOL] 썸머 카디건, (39)I",29900,0.9955,0.9967,0.0771,0.3,0,0,0,1,7,3,0,0,1,0,285,6,0,,,
32,32,SPRLG37U3119105,"[호빵맨] 세균맨 반팔 티셔츠, XL",29900,1.0,0.9088,0.6743,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
33,33,SPPPG37U0750095,"[호빵맨] 반팔 파자마, M, (50",39900,1.0,0.8799,0.4258,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
34,34,SPCKG37G0119100,[COOL] 썸머 카디건 (SPCKG,29900,0.7029,0.4384,0.0979,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
35,35,SPPPG25KU335160,[키즈] (망그러진곰) 망고미 반팔,39900,0.8873,0.5069,0.0543,0.3,0,264,320,5,0,407,28,17,7,0,0,93,0,,,
36,36,SPRLG37U3119100,"[호빵맨] 세균맨 반팔 티셔츠, L,",29900,1.0,0.7285,0.5561,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
37,37,SPPPG37U0125095,[산리오캐릭터즈] 트윙클 프릴 민소매,39900,0.6514,0.5012,0.1887,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
38,38,SPPPG37U2526080,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.8236,0.3567,0.1123,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
39,39,SPJJG37U0349100,[마이페이브아카이브] 라이트 패커블,59900,0.6091,0.2052,0.2052,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
40,40,SPPPG23U0785080,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.9922,0.987,0.0155,0.3,0,169,0,0,9,49,25,27,0,6,15,8,0,,,
41,41,SPCKG37G01AC085,"[COOL] 썸머 카디건 (SPCK,",29900,0.713,0.3812,0.1365,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
42,42,SPPPG37U3120095,[개구리 중사 케로로] 반팔 파자마,39900,0.8091,0.7697,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
43,43,SPCKG37G0126090,[COOL] 썸머 카디건 (SPCKG,29900,0.5509,0.2713,0.1418,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
44,44,SPJJG25G0151085,[UV차단] 라이트 후드 윈드브레이커,39900,0.9971,0.7591,0.0442,0.3,0,151,0,85,503,170,0,7,0,0,13,21,0,,,
45,45,SPCKG37G01AC100,"[COOL] 썸머 카디건 (SPC,",29900,0.8698,0.6349,0.1456,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
46,46,SPTRGA9KU799160,[키즈][5PACK] 남아 모달 컬러,25900,1.0,0.683,0.1549,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
47,47,SPPPG37U2526070,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.7968,0.4819,0.152,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
48,48,SPPPG37U0775100,"[호빵맨] 반팔 파자마, L, (75",39900,1.0,0.7515,0.386,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
49,49,SPMTG26C0219085,"[COOL] 원턱 버뮤다 쇼츠, L,",29900,0.9724,0.9352,0.0618,0.3,0,0,0,4,91,6,0,1,0,4,0,3,0,,,
50,50,SPPPG37U3140095,[개구리 중사 케로로] 반팔 파자마,39900,0.7686,0.6007,0.5618,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
51,51,SPRLG37U3119095,"[호빵맨] 세균맨 반팔 티셔츠, M,",29900,0.9974,0.6312,0.4494,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
52,52,SPMTG26C0219080,"[COOL] 원턱 버뮤다 쇼츠, M,",29900,0.9805,0.9447,0.0493,0.3,0,0,0,4,70,1,0,1,1,-2,6,5,0,,,
53,53,SPRWG37G3060090,레이어드 셔링 반팔티 (SPRWG25,25900,0.9977,0.6311,0.4977,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
54,54,SPRWG37G3060095,레이어드 셔링 반팔티 (SPRWG25,25900,1.0,0.6159,0.4889,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
55,55,SPJJG37G0230095,[ACTIVE] 라이트 시어 후드 크,39900,1.0,0.4971,0.0743,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
56,56,SPPPG25U0110095,"[산리오캐릭터즈] 반팔 파자마, M,",39900,0.9557,0.7464,0.0409,0.3,0,92,0,149,95,276,1,96,2,7,1,30,2,,,
57,57,SPRLG25U0910095,"[가나디] 반팔 티셔츠, M, (10",25900,0.8072,0.6459,0.0434,0.3,0,561,0,804,137,487,1,27,1,42,10,22,7,,,
58,58,SPPPG23U0785075,[산리오캐릭터즈] 헬로키티 레오파드,29900,0.9984,0.9882,0.0123,0.3,0,167,0,6,7,24,50,19,0,28,12,4,0,,,
59,59,SPPPG37U3159095,[개구리 중사 케로로] 반팔 파자마,39900,0.7467,0.5089,0.4667,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
60,60,SPBWG25W0119090,"셔링 레이스 반팔 블라우스, (19)",39900,0.9982,0.7068,0.1224,0.3,0,10,0,10,71,12,0,3,0,0,15,0,0,,,
61,61,SPCKG37G0126095,[COOL] 썸머 카디건 (SPCKG,29900,0.6778,0.3486,0.1611,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
62,62,SPPPG25KU110150,[키즈] (산리오캐릭터즈) 반팔 파자,39900,1.0,0.8169,0.061,0.3,0,51,65,0,0,205,19,12,9,0,0,62,0,,,
63,63,SPRWG37G0139095,"[코튼스판] 캡소매 절개 반팔티, (",25900,0.864,0.441,0.0529,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
64,64,SPRLG25U0910090,"[가나디] 반팔 티셔츠, S, (10",25900,0.9386,0.8106,0.0446,0.3,0,198,0,726,244,423,18,39,1,54,9,33,19,,,
65,65,SPJJG37G0225095,[ACTIVE] 라이트 시어 후드 크,39900,1.0006,0.697,0.0877,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
66,66,SPPPG25U0525095,[먼작귀] 먼가 작고 귀여운 여름 반,39900,0.9763,0.7516,0.0526,0.3,0,110,0,117,132,79,0,76,1,4,1,21,1,,,
67,67,SPCKG24G0133085,"[COOL] 썸머 카디건, (33)O",29900,0.9966,0.9191,0.1102,0.3,0,0,0,0,143,11,0,0,0,0,109,0,0,,,
68,68,SPTCG25G1119065,"와이드 카고 팬츠 (나일론), (19",39900,0.9995,0.7363,0.1209,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
69,69,SPPPG25U0530095,[먼작귀] 먼가 작고 귀여운 여름 반,39900,0.9589,0.7465,0.0468,0.3,0,95,0,198,146,161,1,112,0,9,3,18,0,,,
70,70,SPTRGA9A2299105,"[6PACK] 남성 모달 드로즈, (",35900,1.0,0.5511,0.0935,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
71,71,SPRWG25G0110085,"[코튼스판] 세미 크롭 슬림 반팔티,",19900,0.9949,0.7114,0.0452,0.3,0,3,0,7,716,0,0,6,2,0,62,1,0,,,
72,72,SPRWG24G0159085,"헨리넥 반팔티, (59)Navy, S",25900,1.0219,0.8107,0.0807,0.3,0,11,0,6,250,3,0,2,0,0,38,0,0,,,
73,73,SPYWG37W0136095,"시스루 셔츠, (36)Light Be",39900,0.9994,0.6696,0.106,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
74,74,SPRWG24G01AC085,"헨리넥 반팔티, (AC)Melange",25900,0.9981,0.8913,0.0491,0.3,0,0,1,4,234,3,0,10,0,0,40,0,0,,,
75,75,SPPPG37U0125090,[산리오캐릭터즈] 트윙클 프릴 민소매,39900,0.6772,0.4901,0.1871,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
75,75,SPPPG37U3140100,[개구리 중사 케로로] 반팔 파자마,39900,0.7123,0.5719,0.5269,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
77,77,SPRLG25U0910100,"[가나디] 반팔 티셔츠, L, (10",25900,0.8133,0.6144,0.038,0.3,0,210,0,736,83,343,0,19,0,43,6,13,8,,,
78,78,SPRWG25G0664095,"스트라이프 레이어드 반팔티, (64)",25900,1.0,0.7587,0.1354,0.3,0,8,0,1,160,4,0,2,0,1,40,1,0,,,
79,79,SPJJG25G0151095,[UV차단] 라이트 후드 윈드브레이커,39900,0.999,0.8326,0.0374,0.3,0,114,0,80,263,23,0,4,0,0,21,27,0,,,
80,80,SPPPG25KU326160,"[키즈] (망그러진곰) 망고미 반팔,",39900,0.8901,0.4013,0.0396,0.3,0,111,161,3,0,249,20,20,8,0,0,43,0,,,
81,81,SPCKG37G02AC095,"[COOL] 썸머 골지 카디건 (S,",29900,0.5587,0.09,0.0671,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
82,82,SPJJG37G0275090,[ACTIVE] 라이트 시어 후드 크,39900,1.0,0.8781,0.0936,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
83,83,SPPPG25KU335150,[키즈] (망그러진곰) 망고미 반팔,39900,0.953,0.5347,0.0486,0.3,0,217,262,3,0,340,24,13,3,1,0,50,0,,,
84,84,SPRWG37G0139090,"[코튼스판] 캡소매 절개 반팔티, (",25900,0.7353,0.3583,0.0396,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
85,85,SPPPG25U0619095,"[가나디] 반팔 파자마, M, (19",39900,0.8891,0.6207,0.0541,0.3,0,132,0,334,102,203,33,27,1,7,2,7,13,,,
86,86,SPPPG25KU351160,"[키즈] (망그러진곰) 망고미 반팔,",39900,0.8847,0.4318,0.0522,0.3,0,212,228,3,0,355,19,15,4,0,0,46,0,,,
87,87,SPPPG25U0550100,[먼작귀] 먼가 작고 귀여운 여름 반,39900,0.9621,0.7703,0.0545,0.3,0,71,0,107,103,59,0,82,0,5,1,9,3,,,
88,88,SPYWG37W0136090,"시스루 셔츠, (36)Light Be",39900,1.0006,0.723,0.1175,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
89,89,SPRWG37G3085095,레이어드 셔링 반팔티 (SPRWG25,25900,1.0,0.6545,0.4896,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
90,90,SPJJG37U0325095,[마이페이브아카이브] 라이트 패커블,59900,0.6013,0.2614,0.2614,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
90,90,SPJJG37U0325100,[마이페이브아카이브] 라이트 패커블,59900,0.6078,0.2614,0.2614,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
92,92,SPTCG25G1110080,"와이드 카고 팬츠 (나일론), (10",39900,0.9921,0.6758,0.111,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
93,93,SPTRGA9KU799150,[키즈][5PACK] 남아 모달 컬러,25900,1.0,0.4495,0.103,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
94,94,SPPPG25U0110090,"[산리오캐릭터즈] 반팔 파자마, S,",39900,0.8881,0.649,0.0513,0.3,0,85,0,102,69,157,11,58,0,3,2,8,1,,,
95,95,SPRWG25G0664090,"스트라이프 레이어드 반팔티, (64)",25900,0.992,0.644,0.1173,0.3,0,13,0,2,248,0,0,5,0,1,44,0,0,,,
96,96,SPTJG25G5155078,"[COOL] 롱 와이드 진, (55)",49900,1.0,0.5312,0.1292,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
97,97,SPPPG37KG1CD130,"[키즈] (캐치!티니핑6) 반팔, (",39900,0.842,0.4864,0.042,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
98,98,SPCKG24G0139090,"[COOL] 썸머 카디건, (39)I",29900,0.9932,0.9466,0.0467,0.3,0,0,1,1,30,2,0,1,1,0,3,1,0,,,
99,99,SPBWG25W0119085,"셔링 레이스 반팔 블라우스, (19)",39900,0.9972,0.6195,0.1097,0.3,0,12,0,10,113,12,0,7,0,0,9,0,0,,,
100,100,SPRLG37U3119110,"[호빵맨] 세균맨 반팔 티셔츠, XX",29900,1.0,0.9276,0.6974,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
101,101,SPJJG37G0275095,[ACTIVE] 라이트 시어 후드 크,39900,0.9992,0.7339,0.0924,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
102,102,SPTNG37G0156075,"여성 데님 버뮤다 쇼츠, (56)Li",39900,0.729,0.4543,0.0625,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
103,103,SPPPG25U0284100,[짱구] 꿀잠 자는 짱구 반팔 파자마,39900,0.9306,0.688,0.0664,0.3,0,65,0,87,43,190,12,23,0,4,5,10,1,,,
104,104,SPPPG37KG1CD120,"[키즈] (캐치!티니핑6) 반팔, (",39900,0.8083,0.5438,0.0508,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
105,105,SPPPG25U0610090,"[가나디] 반팔 파자마, S, (10",39900,0.967,0.8016,0.0475,0.3,0,95,0,108,24,210,10,28,0,6,1,19,3,,,
106,106,SPTCG25G1219070,"벌룬 와이드 팬츠 (나일론), (19",39900,0.9711,0.7771,0.0669,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
107,107,SPYWG37W0116085,"시스루 셔츠, (16)Light Gr",39900,0.997,0.8318,0.1592,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
108,108,SPTJG25G5156073,"[COOL] 롱 와이드 진, (56)",49900,0.9871,0.6089,0.1069,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
109,109,SPPPG25KU110140,[키즈] (산리오캐릭터즈) 반팔 파자,39900,0.9841,0.4919,0.0485,0.3,0,20,118,3,0,196,23,9,2,0,0,50,0,,,
110,110,SPCKG24G0141095,"[COOL] 썸머 카디건, (41)L",29900,0.8571,0.6196,0.0532,0.3,0,0,0,0,86,4,0,0,0,0,192,0,0,,,
111,111,SPCKG24G0141090,"[COOL] 썸머 카디건, (41)L",29900,0.8687,0.7517,0.0604,0.3,0,0,0,1,276,3,0,0,0,0,215,0,0,,,
112,112,SPTRGA9KU799140,[키즈][5PACK] 남아 모달 컬러,25900,1.0,0.4589,0.1068,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
113,113,SPPPG37U0775095,"[호빵맨] 반팔 파자마, M, (75",39900,1.0,0.6484,0.2967,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
114,114,SPYWG37W0116090,"시스루 셔츠, (16)Light Gr",39900,0.9954,0.8128,0.1629,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
115,115,SPPPG37U3159100,[개구리 중사 케로로] 반팔 파자마,39900,0.7311,0.4523,0.423,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
116,116,SPJJG37G0210100,[ACTIVE] 라이트 시어 후드 크,39900,0.9991,0.6201,0.1032,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
117,117,SPJJG25GY110085,"시어 셔링 윈드브레이커, (10)Wh",49900,0.9968,0.684,0.1074,0.3,0,8,0,16,96,1,0,1,0,0,12,0,0,,,
118,118,SPCKG37G0133090,"[COOL] 썸머 카디건 (S, (3",29900,0.3471,0.1347,0.0851,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
119,119,SPPPG25KU284160,"[키즈] (짱구) 꿀잠 반팔 파자마,",39900,0.9977,0.6345,0.0522,0.3,0,127,163,5,0,205,8,12,5,0,0,47,0,,,
120,120,SPTNG37G0155075,"여성 데님 버뮤다 쇼츠, (55)In",39900,0.6906,0.4173,0.0611,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
121,121,SPPPG37U3140105,[개구리 중사 케로로] 반팔 파자마,39900,0.8796,0.7887,0.7396,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
122,122,SPPPG37U3130100,[개구리 중사 케로로] 반팔 파자마,39900,0.8684,0.3454,0.3421,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
123,123,SPTJG25G5159073,"[COOL] 롱 와이드 진, (59)",49900,0.9989,0.5641,0.1325,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
124,124,SPWPGA9KG799150,[키즈][5PACK] 여아 모달 컬러,25900,1.0,0.7081,0.19,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
125,125,SPMTG37G0219075,[에어비스코스] 골지 롱 와이드 팬츠,29900,0.7353,0.4251,0.0462,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
126,126,SPPPG37U3140090,[개구리 중사 케로로] 반팔 파자마,39900,0.8754,0.4611,0.4081,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
127,127,SPRWG37G1210090,[코튼스판] 세미 크롭 슬림 반팔티,19900,0.4885,0.1171,0.0801,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
128,128,SPRWG24G0103085,"헨리넥 반팔티, (03)Dark Na",25900,1.0,0.9622,0.0694,0.3,0,0,0,5,160,0,0,7,0,0,31,0,0,,,
129,129,SPMTG26C0219075,"[COOL] 원턱 버뮤다 쇼츠, S,",29900,0.9603,0.9084,0.0427,0.3,0,0,0,23,92,0,0,0,0,0,1,0,0,,,
130,130,SPTJG25G5155067,"[COOL] 롱 와이드 진, (55)",49900,1.0,0.441,0.0953,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
131,131,SPJJG37U0349090,[마이페이브아카이브] 라이트 패커블,59900,0.61,0.1274,0.1274,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
132,132,SPMRGA9KU110140,"[키즈] [2PACK] 모달 탱크탑,",15900,0.6776,0.3957,0.0628,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
133,133,SPJJG25C0916095,[UV차단] 라이트 패커블 윈드브레이,39900,0.9996,0.7398,0.0612,0.3,0,6,0,105,21,69,0,10,2,12,9,11,0,,,
134,134,SPPPG37U0750090,"[호빵맨] 반팔 파자마, S, (50",39900,1.0,0.8431,0.3832,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
135,135,SPRLG25U0910105,"[가나디] 반팔 티셔츠, XL, (1",25900,0.8615,0.6668,0.0363,0.3,0,400,0,552,77,279,0,27,0,33,4,16,8,,,
136,136,SPMTG26C02AC090,"[COOL] 원턱 버뮤다 쇼츠, XL",29900,0.9702,0.8709,0.0477,0.3,0,9,0,187,142,6,0,8,0,16,0,11,0,,,
137,137,SPPPG25U1759100,"[개구리 중사 케로로] 반팔 파자마,",39900,1.0,0.9863,0.1187,0.3,0,47,0,6,0,0,0,0,0,0,0,0,0,,,
138,138,SPRLG37U3119090,"[호빵맨] 세균맨 반팔 티셔츠, S,",29900,1.0,0.5928,0.3844,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
139,139,SPWPGA9KG799160,[키즈][5PACK] 여아 모달 컬러,25900,1.0,0.9144,0.1712,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
140,140,SPPPG25U0550105,[먼작귀] 먼가 작고 귀여운 여름 반,39900,0.9696,0.8106,0.0496,0.3,0,42,0,83,95,33,0,83,0,2,0,7,0,,,
141,141,SPPPG37U0125100,[산리오캐릭터즈] 트윙클 프릴 민소매,39900,0.658,0.564,0.1605,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
141,141,SPPPG37U1230090,[마이페이브아카이브] 레오파드 슬립,39900,0.3904,0.1157,0.1157,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
141,141,SPYWG37W0116095,"시스루 셔츠, (16)Light Gr",39900,1.0,0.7497,0.1952,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
141,141,SPYWG37W0188085,"시스루 셔츠, (88)Lavender",39900,0.9991,0.853,0.1089,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
145,145,SPJJG25C0916100,[UV차단] 라이트 패커블 윈드브레이,39900,0.9962,0.6637,0.0554,0.3,0,31,1,188,52,64,0,7,0,18,8,27,0,,,
146,146,SPPPG25KU326150,"[키즈] (망그러진곰) 망고미 반팔,",39900,0.8755,0.3804,0.0418,0.3,0,93,143,3,0,257,13,15,0,0,0,29,1,,,
147,147,SPJJG25GY125090,"시어 셔링 윈드브레이커, (25)Pi",49900,0.9957,0.7672,0.1078,0.3,0,27,0,0,50,0,0,5,0,0,9,0,0,,,
148,148,SPPPG25U0619100,"[가나디] 반팔 파자마, L, (19",39900,0.9634,0.6645,0.0488,0.3,0,163,0,293,96,185,20,19,0,14,0,5,11,,,
149,149,SPJJG25G0110100,[UV차단] 라이트 후드 윈드브레이커,39900,0.9977,0.7589,0.0583,0.3,0,48,0,66,82,8,0,6,0,0,18,0,0,,,
150,150,SPARG37KG3B7120,"[키즈] (캐치!티니핑6) 여아, (",69900,0.9586,0.6465,0.1879,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
151,151,SPJJG37G0215085,[ACTIVE] 라이트 시어 후드 크,39900,1.0029,0.9376,0.0409,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
152,152,SPTJG25G5155070,"[COOL] 롱 와이드 진, (55)",49900,0.9981,0.4286,0.0844,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
153,153,SPJJG37U0325090,[마이페이브아카이브] 라이트 패커블,59900,0.6094,0.2422,0.2422,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
154,154,SPCKG24G0139095,"[COOL] 썸머 카디건, (39)I",29900,0.9956,0.9397,0.042,0.3,0,1,0,0,116,2,0,12,2,0,3,0,0,,,
155,155,SPPPG25KU431130,"[키즈] (포켓몬) 반짝이는 반, (",39900,0.9674,0.5031,0.0556,0.3,0,90,173,8,0,243,0,15,6,0,0,45,0,,,
156,156,SPTRGA9A2299100,"[6PACK] 남성 모달 드로즈, (",35900,1.0,0.4275,0.082,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
157,157,SPTNG37G0156070,"여성 데님 버뮤다 쇼츠, (56)Li",39900,0.7027,0.3872,0.0442,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
